waktu,brand,tipe,sale
2019-01-01,BMW,JA12 520I,1
2019-02-01,BMW,JA12 520I,0
2019-03-01,BMW,JA12 520I,0
2019-04-01,BMW,JA12 520I,2
2019-05-01,BMW,JA12 520I,0
2019-06-01,BMW,JA12 520I,0
2019-07-01,BMW,JA12 520I,1
2019-08-01,BMW,JA12 520I,0
2019-09-01,BMW,JA12 520I,0
2019-10-01,BMW,JA12 520I,0
2019-11-01,BMW,JA12 520I,0
2019-12-01,BMW,JA12 520I,0
2019-01-01,BMW,JR32 530I,0
2019-02-01,BMW,JR32 530I,1
2019-03-01,BMW,JR32 530I,0
2019-04-01,BMW,JR32 530I,0
2019-05-01,BMW,JR32 530I,0
2019-06-01,BMW,JR32 530I,0
2019-07-01,BMW,JR32 530I,0
2019-08-01,BMW,JR32 530I,0
2019-09-01,BMW,JR32 530I,0
2019-10-01,BMW,JR32 530I,0
2019-11-01,BMW,JR32 530I,0
2019-12-01,BMW,JR32 530I,0
2019-01-01,BMW,2Z42 I8,0
2019-02-01,BMW,2Z42 I8,1
2019-03-01,BMW,2Z42 I8,0
2019-04-01,BMW,2Z42 I8,0
2019-05-01,BMW,2Z42 I8,0
2019-06-01,BMW,2Z42 I8,0
2019-07-01,BMW,2Z42 I8,0
2019-08-01,BMW,2Z42 I8,0
2019-09-01,BMW,2Z42 I8,0
2019-10-01,BMW,2Z42 I8,0
2019-11-01,BMW,2Z42 I8,0
2019-12-01,BMW,2Z42 I8,0
2019-01-01,HONDA,All New City IVTEC E AT,15
2019-02-01,HONDA,All New City IVTEC E AT,33
2019-03-01,HONDA,All New City IVTEC E AT,31
2019-04-01,HONDA,All New City IVTEC E AT,41
2019-05-01,HONDA,All New City IVTEC E AT,37
2019-06-01,HONDA,All New City IVTEC E AT,51
2019-07-01,HONDA,All New City IVTEC E AT,49
2019-08-01,HONDA,All New City IVTEC E AT,45
2019-09-01,HONDA,All New City IVTEC E AT,56
2019-10-01,HONDA,All New City IVTEC E AT,42
2019-11-01,HONDA,All New City IVTEC E AT,42
2019-12-01,HONDA,All New City IVTEC E AT,8
2019-01-01,HONDA,All New City IVTEC ES AT,0
2019-02-01,HONDA,All New City IVTEC ES AT,0
2019-03-01,HONDA,All New City IVTEC ES AT,0
2019-04-01,HONDA,All New City IVTEC ES AT,0
2019-05-01,HONDA,All New City IVTEC ES AT,0
2019-06-01,HONDA,All New City IVTEC ES AT,0
2019-07-01,HONDA,All New City IVTEC ES AT,0
2019-08-01,HONDA,All New City IVTEC ES AT,0
2019-09-01,HONDA,All New City IVTEC ES AT,0
2019-10-01,HONDA,All New City IVTEC ES AT,0
2019-11-01,HONDA,All New City IVTEC ES AT,0
2019-12-01,HONDA,All New City IVTEC ES AT,0
2019-01-01,HONDA,All New Civic,0
2019-02-01,HONDA,All New Civic,116
2019-03-01,HONDA,All New Civic,60
2019-04-01,HONDA,All New Civic,27
2019-05-01,HONDA,All New Civic,66
2019-06-01,HONDA,All New Civic,69
2019-07-01,HONDA,All New Civic,117
2019-08-01,HONDA,All New Civic,97
2019-09-01,HONDA,All New Civic,71
2019-10-01,HONDA,All New Civic,65
2019-11-01,HONDA,All New Civic,60
2019-12-01,HONDA,All New Civic,2
2019-01-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-02-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-03-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-04-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-05-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-06-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-07-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-08-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-09-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-10-01,MERCEDES BENZ,A 200 Sedan (V177),0
2019-11-01,MERCEDES BENZ,A 200 Sedan (V177),8
2019-12-01,MERCEDES BENZ,A 200 Sedan (V177),25
2019-01-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-02-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-03-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-04-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-05-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-06-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-07-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-08-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-09-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-10-01,MERCEDES BENZ,CLA 200 AMG Line (C118),0
2019-11-01,MERCEDES BENZ,CLA 200 AMG Line (C118),7
2019-12-01,MERCEDES BENZ,CLA 200 AMG Line (C118),1
2019-01-01,TOYOTA,Limo Taxi,0
2019-02-01,TOYOTA,Limo Taxi,0
2019-03-01,TOYOTA,Limo Taxi,0
2019-04-01,TOYOTA,Limo Taxi,0
2019-05-01,TOYOTA,Limo Taxi,0
2019-06-01,TOYOTA,Limo Taxi,0
2019-07-01,TOYOTA,Limo Taxi,0
2019-08-01,TOYOTA,Limo Taxi,0
2019-09-01,TOYOTA,Limo Taxi,0
2019-10-01,TOYOTA,Limo Taxi,0
2019-11-01,TOYOTA,Limo Taxi,0
2019-12-01,TOYOTA,Limo Taxi,2
2019-01-01,TOYOTA,Vios E,0
2019-02-01,TOYOTA,Vios E,0
2019-03-01,TOYOTA,Vios E,47
2019-04-01,TOYOTA,Vios E,2
2019-05-01,TOYOTA,Vios E,0
2019-06-01,TOYOTA,Vios E,0
2019-07-01,TOYOTA,Vios E,2
2019-08-01,TOYOTA,Vios E,2
2019-09-01,TOYOTA,Vios E,3
2019-10-01,TOYOTA,Vios E,0
2019-11-01,TOYOTA,Vios E,0
2019-12-01,TOYOTA,Vios E,47
2019-01-01,TOYOTA,Vios E AT,4
2019-02-01,TOYOTA,Vios E AT,0
2019-03-01,TOYOTA,Vios E AT,0
2019-04-01,TOYOTA,Vios E AT,0
2019-05-01,TOYOTA,Vios E AT,0
2019-06-01,TOYOTA,Vios E AT,0
2019-07-01,TOYOTA,Vios E AT,0
2019-08-01,TOYOTA,Vios E AT,0
2019-09-01,TOYOTA,Vios E AT,0
2019-10-01,TOYOTA,Vios E AT,0
2019-11-01,TOYOTA,Vios E AT,0
2019-12-01,TOYOTA,Vios E AT,1
2019-01-01,TOYOTA,Vios G,0
2019-02-01,TOYOTA,Vios G,0
2019-03-01,TOYOTA,Vios G,0
2019-04-01,TOYOTA,Vios G,0
2019-05-01,TOYOTA,Vios G,1
2019-06-01,TOYOTA,Vios G,6
2019-07-01,TOYOTA,Vios G,13
2019-08-01,TOYOTA,Vios G,9
2019-09-01,TOYOTA,Vios G,1
2019-10-01,TOYOTA,Vios G,0
2019-11-01,TOYOTA,Vios G,6
2019-12-01,TOYOTA,Vios G,0
2019-01-01,TOYOTA,Vios G AT,36
2019-02-01,TOYOTA,Vios G AT,26
2019-03-01,TOYOTA,Vios G AT,50
2019-04-01,TOYOTA,Vios G AT,35
2019-05-01,TOYOTA,Vios G AT,19
2019-06-01,TOYOTA,Vios G AT,8
2019-07-01,TOYOTA,Vios G AT,41
2019-08-01,TOYOTA,Vios G AT,48
2019-09-01,TOYOTA,Vios G AT,4
2019-10-01,TOYOTA,Vios G AT,2
2019-11-01,TOYOTA,Vios G AT,66
2019-12-01,TOYOTA,Vios G AT,23
2019-01-01,AUDI,A4 2.0 quattro TFSI  A/T,1
2019-02-01,AUDI,A4 2.0 quattro TFSI  A/T,0
2019-03-01,AUDI,A4 2.0 quattro TFSI  A/T,1
2019-04-01,AUDI,A4 2.0 quattro TFSI  A/T,0
2019-05-01,AUDI,A4 2.0 quattro TFSI  A/T,0
2019-06-01,AUDI,A4 2.0 quattro TFSI  A/T,0
2019-07-01,AUDI,A4 2.0 quattro TFSI  A/T,0
2019-08-01,AUDI,A4 2.0 quattro TFSI  A/T,0
2019-09-01,AUDI,A4 2.0 quattro TFSI  A/T,2
2019-10-01,AUDI,A4 2.0 quattro TFSI  A/T,0
2019-11-01,AUDI,A4 2.0 quattro TFSI  A/T,1
2019-12-01,AUDI,A4 2.0 quattro TFSI  A/T,1
